days_active,sessions_count,last_active_days,time_spent_learning,first_week_activity,completed_onboarding,tasks_attempted,tasks_completed,failure_rate,average_task_time,solution_view_attempts,solution_locked_hits,paywall_hits,paid_upgrade_done,dsa_sheet_access_attempts,avg_page_load_time,error_timeout_count,editor_video_crash_count,forced_relogin_count,login_failures,average_login_time,churn
2,54,3,115.88,11,1,123,40,0.33,86.66,36,2,9,0,0,2.42,2,9,12,5,2.33,0
8,117,26,363.97,31,1,10,43,0.32,66.23,29,25,1,1,10,5.58,14,6,6,2,6.92,1
45,84,20,385.47,4,1,8,82,0.14,3.3,16,24,25,0,3,5.28,13,7,4,8,5.94,0
30,102,25,429.43,33,1,127,114,0.54,49.7,6,17,23,0,7,5.28,10,3,12,9,1.75,1
48,118,25,203.23,17,1,110,55,0.78,10.76,26,15,17,1,3,2.98,8,7,15,0,7.63,1
5,108,18,155.88,22,0,31,103,0.74,32.33,35,14,6,0,10,4.36,14,7,7,5,14.4,0
26,86,5,198.46,21,0,122,110,1,77.46,0,22,7,0,5,3.12,14,5,12,8,3.04,0
52,50,6,285.03,10,1,145,115,0.15,5.4,23,20,16,1,5,4.55,0,6,6,9,11.92,0
2,100,0,428.98,15,0,81,84,0.61,54.54,16,30,14,1,12,1.17,5,5,17,8,5.86,0
54,67,23,76.01,14,0,79,70,0.81,37.69,2,9,9,1,5,5.34,6,1,18,7,14.71,1
0,28,12,218.86,35,0,143,6,0.89,6.6,34,20,14,0,5,0.72,5,4,0,1,11.47,0
36,15,24,464.9,15,0,94,47,0.28,47.12,2,20,23,1,12,5.33,7,9,5,2,4.94,1
32,49,0,448.38,1,0,11,43,0.98,51.98,2,12,19,1,8,1.84,12,6,17,1,5.77,0
56,95,18,52.33,28,0,44,50,0.62,66.41,10,8,22,0,13,0.54,5,10,12,1,14.66,0
37,10,24,87.17,23,1,99,111,0.98,49.05,26,28,1,0,2,4.89,9,4,16,9,5.04,1
26,9,3,229.97,21,0,115,36,0.21,36.59,36,18,14,1,11,1.52,8,8,0,4,5.91,0
34,63,16,371.29,39,0,21,23,0.53,75.92,6,23,23,0,5,5.3,7,4,11,6,5.66,0
27,90,18,366.1,23,0,112,114,0.14,45.73,40,7,16,0,8,1.84,6,3,7,6,3.85,0
16,35,6,50.13,40,0,136,30,0.69,62.43,8,26,10,1,5,5.78,11,5,6,1,3.62,0
49,17,4,229.98,2,1,115,32,0.8,13.79,38,26,5,1,3,1.53,14,6,5,7,8.8,0
39,91,0,310.21,32,1,69,102,0.66,32.47,3,5,8,0,3,3.5,2,0,12,8,11.7,0
30,11,18,229.93,12,1,131,71,0.18,2.82,19,14,13,1,10,2.26,2,5,18,9,14.14,0
40,113,28,184.32,27,1,48,63,0.67,37.16,37,12,23,1,2,1.71,9,7,15,9,2.62,1
55,20,25,259.76,24,0,93,84,0.46,87.53,14,10,18,1,15,5.26,1,5,11,0,13.87,1
14,109,28,452.52,6,0,1,24,0.18,63.13,20,9,13,0,12,4.72,10,8,11,1,3.71,1
35,44,22,287.58,5,0,66,46,0.86,32,18,1,17,0,3,5.23,1,7,13,6,11.54,1
48,60,16,34.07,36,1,143,69,0.18,32.58,34,26,9,1,15,0.85,4,7,8,4,7.12,0
27,23,8,320.32,18,1,55,6,0.82,8.19,8,14,12,1,15,4.53,4,6,15,4,3.1,0
29,40,13,65.37,10,0,112,16,0.24,47.37,26,3,16,1,12,2.96,6,6,3,7,10.84,0
50,77,24,79.23,31,1,68,89,0.01,28.21,36,23,0,0,1,3,1,1,7,10,1.66,1
49,114,14,176.3,5,0,99,29,0.63,36.43,36,19,4,0,14,5.4,7,7,20,3,5.72,0
52,93,9,50.67,13,1,41,36,0.02,24.53,30,23,25,0,8,1.42,11,9,6,9,8.62,0
8,103,18,378.13,24,0,126,45,0.18,89,2,9,4,1,3,3.19,7,3,5,0,13.87,0
2,41,22,499.53,8,0,106,50,0.07,57.02,21,16,8,1,2,3.46,6,10,1,4,13.22,1
4,54,13,313.13,13,0,113,56,0.61,61.91,11,3,9,0,13,3.57,0,5,7,7,7.35,0
59,69,16,336.26,31,0,131,35,0.8,74.58,9,8,6,1,8,3.6,1,10,6,6,4.48,0
20,98,17,110.4,37,0,72,54,0.87,36.31,7,30,22,0,2,1.2,1,1,9,5,10.28,0
50,91,2,343.85,19,1,143,29,0.51,21.14,40,14,20,1,9,5.02,14,2,19,10,14.62,0
31,112,9,234.28,31,1,46,14,0.53,70.8,27,4,24,0,15,5.91,8,4,15,8,13.81,0
59,86,9,352.18,4,1,97,88,0.67,16.14,39,11,22,1,11,0.77,0,8,15,1,6.82,0
2,45,16,450.94,17,1,136,58,0.46,41.82,2,22,5,1,12,4.89,7,8,15,9,12.47,0
36,76,25,342.42,27,1,102,36,0.14,37.4,30,21,1,1,4,3.81,12,0,11,1,8.72,1
49,21,3,302.42,3,1,113,39,0.42,74.35,23,3,6,0,9,4.24,11,7,8,9,9.24,0
19,71,19,332.19,24,0,84,57,0.9,43.03,15,15,11,0,11,2.1,13,7,11,10,8.04,0
22,61,24,265.86,0,0,149,36,0.24,57.61,1,28,7,1,6,5.35,14,9,9,8,13.5,1
45,29,6,139.64,14,0,64,0,0.78,72.32,19,11,19,0,4,1.96,6,1,16,0,10.91,0
14,65,20,291.32,4,1,100,101,0.3,45.74,11,1,11,0,10,0.5,13,7,9,9,3.92,0
49,70,16,323,14,0,146,100,0.54,52.24,2,14,1,1,4,1.37,12,3,4,8,5.74,0
16,116,19,484.82,36,0,60,73,0.21,31.04,14,15,16,0,2,2.17,10,4,0,4,2.39,0
12,45,23,495.76,13,0,61,92,0.38,43.64,17,6,8,1,14,1.43,2,4,6,6,14.39,1
5,2,24,492.69,2,1,48,94,0.28,86.43,3,2,5,1,1,1.77,0,8,10,3,3.09,1
58,11,9,457.54,25,0,65,44,0.1,41.05,4,17,17,1,3,4.16,9,0,14,3,6.28,0
22,9,23,59.74,1,1,57,55,0.76,34.63,0,0,11,0,11,1.63,11,6,20,8,14.26,1
30,41,4,267.29,10,1,36,20,0.63,15.36,8,16,18,0,6,1.44,1,9,17,9,11.82,0
49,47,24,287.87,31,0,140,11,0.08,43.21,33,17,9,1,10,5.48,4,6,17,0,2.88,1
11,71,9,227.06,9,0,13,63,0.85,61.16,31,0,9,0,11,4.78,9,0,20,8,8.83,0
55,22,3,268.43,34,1,115,19,0.89,46.78,28,30,2,1,6,0.55,14,8,9,9,11.6,0
31,37,15,123.02,20,1,56,71,0.12,22.26,27,20,11,1,8,0.5,14,5,17,0,13.76,0
5,101,25,462.3,13,0,131,8,0.05,50.88,20,16,7,1,8,5.54,2,9,2,8,8.68,1
48,109,5,360.88,18,1,94,62,0.25,41.52,40,24,15,1,15,1.83,4,0,0,3,9.32,0
25,65,20,419.93,6,0,143,117,0.92,45.2,18,1,12,1,4,4.7,10,8,7,1,3.86,0
41,61,4,373.03,17,0,53,63,0.9,35.67,1,22,3,1,4,2.36,7,6,11,8,10.89,0
1,12,13,424.26,21,1,95,61,0.57,64.29,4,11,2,1,1,1.64,4,2,1,10,7.9,0
44,6,12,277.13,38,1,51,8,0.32,79.78,3,16,24,0,14,4.62,2,8,5,3,10.1,0
49,48,14,159.46,37,1,46,120,0.92,87.39,31,12,9,1,12,4.29,10,7,16,9,11.16,0
47,84,7,373.55,31,0,148,48,0.44,31.36,0,4,20,0,4,1.14,3,10,7,9,2.67,0
59,114,10,481.32,25,0,85,39,0.23,70.85,38,20,25,1,2,2,6,8,1,10,6.97,0
13,108,13,406.08,32,1,138,100,0.89,77.83,7,15,24,1,9,1.56,13,10,11,9,3.29,0
60,106,14,291.03,21,1,1,37,0.67,42.41,6,24,7,0,1,4.63,14,3,1,8,4.21,0
60,34,15,124.92,9,1,146,96,0.66,74.6,32,3,2,1,1,5.87,12,2,0,6,1.86,0
41,74,6,277.87,27,1,67,55,0.29,62.66,4,14,9,0,15,2.19,6,8,7,2,7,0
5,5,22,100.01,38,1,67,11,0.19,5.65,9,6,14,1,8,5.62,8,8,3,4,11.12,1
37,25,20,223.32,24,1,1,4,0.97,51.6,36,24,8,1,7,5.2,9,3,17,3,6.37,0
54,45,0,251.75,6,0,28,77,0.48,15.69,38,27,14,0,4,1.96,10,6,19,3,7.33,0
36,24,4,416.79,21,1,43,20,0.57,6.73,26,16,17,0,1,4.21,4,7,20,3,13.03,0
25,91,24,198.78,18,1,43,55,0.56,15.39,34,17,2,0,2,3.78,10,4,13,7,4.46,1
38,99,25,158.79,2,0,23,17,0.69,71.06,10,28,22,1,10,5.22,12,8,12,2,13.7,1
33,4,2,328.86,1,0,36,75,0.43,21.8,38,26,14,0,9,3.01,10,9,17,9,3.87,0
3,47,6,174.56,40,1,16,77,0.63,12.34,11,7,3,1,12,1.82,7,5,5,4,11.27,0
15,65,30,157.25,30,0,48,32,0.71,52.77,26,13,14,0,10,2.18,2,7,8,0,10.71,1
33,115,2,43.22,36,0,14,114,0.31,69.28,0,30,22,0,13,5.55,6,7,0,10,8.09,0
60,67,5,319.31,13,1,31,47,0.84,40.31,33,17,5,0,13,5.15,1,6,17,9,4.37,0
31,61,27,404.79,12,0,1,28,0.91,54.25,5,24,24,1,9,4.76,5,10,9,3,5.24,1
54,35,23,480.85,14,0,145,38,0.66,72.97,15,26,19,1,12,3.78,12,10,18,8,8.62,1
7,54,18,69.48,20,1,75,51,0.17,85.42,5,24,11,0,5,2.64,8,3,12,10,5.88,0
50,56,6,169.32,29,0,51,9,0.93,17.17,17,2,22,1,0,1.92,1,3,5,1,10.78,0
1,50,3,494.98,12,1,144,44,0.33,75.31,10,28,18,1,11,2.85,12,5,14,6,9.04,0
25,25,14,379.75,15,1,48,68,0.36,16.72,11,30,22,0,3,2.43,13,10,3,7,8.34,0
28,29,7,63.61,35,0,73,44,0.32,24.3,14,14,25,0,14,4.19,1,5,11,9,2.9,0
2,6,29,294.33,0,1,1,20,0.16,4.83,5,25,1,0,9,4.41,5,3,12,1,10.27,1
32,32,4,486.48,32,0,1,53,0.71,70.75,5,30,8,0,10,5.47,14,6,16,4,11.49,0
25,60,26,469.02,6,0,95,73,0.33,17.26,12,10,16,0,3,3.17,2,10,18,4,9.29,1
20,58,11,323.01,19,1,26,68,0.92,6.46,9,29,22,1,13,2.72,8,2,8,5,10.08,0
37,33,5,387.17,18,1,119,118,0.65,43.85,23,3,8,0,15,1.44,2,7,0,5,6.09,0
56,54,28,117.91,27,1,16,76,0.52,78.92,33,8,6,1,5,4.25,5,2,1,10,3.04,1
28,112,9,312.2,2,0,143,57,0.86,34.25,23,10,8,0,13,4.49,0,1,12,7,11.56,0
48,6,25,264.58,28,1,95,99,0.53,41.2,15,2,4,0,15,5.96,3,9,6,6,7.42,1
8,27,26,405.97,12,1,21,115,0.99,17.99,22,29,19,0,13,1.19,5,0,10,6,9.77,1
53,38,11,158.13,30,0,136,4,0.05,39.31,12,19,25,1,12,5.79,15,2,1,4,7.82,0
14,51,6,161.12,40,1,90,4,0.77,7.51,37,29,8,1,3,1.38,2,4,10,1,10.6,0
35,9,19,400.11,24,1,83,14,0.42,70.83,26,0,5,1,6,2.07,2,8,19,0,11.13,0
55,3,4,346.44,26,1,17,1,0.3,20.26,9,1,21,0,6,3.97,1,7,20,7,10.99,0
8,38,22,147.5,2,0,54,73,0.26,48.15,18,4,1,1,5,5.01,14,9,5,7,6.27,1
36,42,13,350.43,0,0,14,12,0.78,89.76,32,8,25,0,7,5.5,10,7,7,3,1.82,0
60,79,4,295.37,24,1,113,101,0.68,22.21,19,5,16,1,13,5.44,11,5,4,7,9.06,0
51,100,17,103.42,4,0,83,61,0.24,86.6,20,21,15,0,2,2.37,5,8,13,10,7.5,0
8,57,2,428.64,39,0,108,74,0.53,53,21,20,24,0,5,5.56,0,5,16,2,9.74,0
38,49,0,361.23,24,1,3,21,0.1,39.33,13,29,16,0,4,0.52,12,8,14,2,5.56,0
17,17,17,159.88,26,1,11,63,0.84,6.01,3,3,12,0,0,2.46,14,5,20,0,7.42,0
41,94,28,222.52,9,1,94,85,0.26,66.99,8,8,7,0,9,1.7,5,4,8,7,14.27,1
37,51,18,83.45,8,0,105,82,0.06,6.97,3,23,18,1,8,5,2,4,17,1,14.01,0
14,18,27,139.43,14,1,85,70,0.84,11.34,18,19,9,0,11,1.35,0,2,18,1,2.62,1
11,118,19,462.59,16,0,5,82,0.24,83.68,11,2,4,0,2,4.42,3,10,4,3,8.21,0
9,115,16,200.61,24,0,99,38,0.23,89.71,17,22,10,0,9,2.56,1,2,14,1,8.68,0
12,38,25,93.34,25,1,142,84,0.57,9.72,10,17,22,0,14,4.86,0,2,8,3,12.09,1
26,97,21,112.01,1,1,130,51,0.36,4.66,8,1,20,0,0,2.68,3,8,4,9,4.13,1
30,56,24,30.36,8,1,52,85,0.11,48.39,38,28,9,0,6,1.82,14,7,12,6,3.16,1
45,38,7,425.61,15,0,63,30,0.97,58.78,24,8,5,0,5,4.18,5,1,16,8,4.12,0
57,51,14,209.32,7,0,35,70,0.45,2.26,11,11,4,1,6,0.84,7,3,4,9,9.8,0
23,105,13,464.22,30,1,17,59,0.34,57.14,4,1,0,1,13,1.83,12,9,5,0,9.96,0
5,92,20,344.83,21,0,74,14,0.89,29.1,16,20,22,0,8,2.79,15,8,15,10,9.21,0
52,45,15,122.52,38,1,147,100,0.24,10.16,30,21,25,0,1,3.4,15,8,4,5,8.02,0
2,47,29,340.96,12,1,150,44,0.26,78.73,20,30,20,1,0,5.58,14,6,1,9,5.02,1
54,1,1,133.5,40,1,79,17,0.46,64.66,11,22,4,0,10,2.55,8,1,11,7,10.94,0
49,9,25,467.56,33,0,3,95,0.82,78.97,15,29,0,1,10,1.6,9,3,15,2,5.13,1
52,69,17,397,24,0,24,72,0.94,30.82,14,2,14,1,7,1.64,12,1,8,0,7.22,0
29,88,5,494.49,24,0,90,102,0.82,52.16,12,2,16,1,6,3.6,11,10,7,7,11.03,0
49,56,6,118.45,36,0,85,114,0.17,30.08,1,1,5,0,14,5.09,8,3,5,1,1.35,0
42,22,20,344.77,21,1,14,2,0.97,61.94,10,11,1,1,6,3.74,12,0,3,2,8.61,0
18,117,14,266.59,22,0,99,38,0.44,85.66,2,17,5,0,0,3.16,11,9,5,9,13.92,0
26,45,16,454.88,19,0,95,63,0.91,31.93,33,12,11,0,12,2.49,3,10,12,6,10.86,0
53,41,28,46.35,2,1,147,2,0.29,54.49,21,0,16,0,14,2.29,0,1,4,8,4.53,1
36,120,12,423.8,20,0,58,116,0.52,57.96,21,30,21,0,11,2.95,14,8,9,9,11.8,0
12,6,19,467.33,15,1,92,50,0.02,46.85,27,20,7,1,5,2.59,9,1,10,3,7.48,0
43,53,19,201.74,3,1,26,105,0.14,52.59,22,24,1,0,12,1.7,15,10,16,9,1.01,0
58,42,7,186.23,7,0,21,69,0.15,29.67,4,29,4,0,3,4.09,8,0,13,9,11.86,0
47,83,6,142.36,9,1,15,57,0,32.2,22,17,0,0,1,1.3,13,1,13,9,13.25,0
35,20,27,357.18,16,1,25,14,0.25,12.83,27,14,1,0,3,5.86,14,3,8,9,5.7,1
53,74,29,180.18,26,0,107,47,0.86,87.13,28,17,7,1,4,2.27,6,7,0,6,5.19,1
52,120,17,417.74,8,1,31,16,0.92,24.66,7,27,14,1,10,3.04,6,9,0,8,2.65,0
54,91,23,463.19,35,1,123,23,0.62,30.68,32,8,20,0,11,1.53,9,1,9,0,14.9,1
34,32,26,158.15,31,0,38,25,0.17,51.45,1,30,6,1,4,3.07,4,2,14,0,14.4,1
4,82,20,472.99,4,1,122,36,0.25,31.66,13,4,9,0,4,3.02,2,6,13,1,11.44,0
33,62,13,420.22,35,0,38,88,0.25,65.12,31,21,3,0,14,5.09,12,8,2,3,10.12,0
9,14,26,154.87,18,1,2,111,0.98,75.74,20,2,6,0,14,2.87,15,2,9,3,12.71,1
20,6,17,42.59,18,1,56,18,0.35,18.68,28,18,20,1,2,2.53,11,10,14,6,9.88,0
48,107,16,182.12,19,1,39,99,0.34,54.52,1,21,19,0,8,0.67,7,7,11,4,4.5,0
26,116,11,122.79,7,0,87,117,0.83,43.65,11,29,20,0,9,2.82,5,7,3,1,10.73,0
53,60,2,257.96,28,0,40,115,0.84,43.55,4,20,4,1,12,2.25,13,10,12,1,11.67,0
3,89,13,122.96,27,0,117,103,0.67,70.86,17,19,16,0,2,5.93,4,3,18,10,8.17,0
12,120,22,393.56,19,0,92,84,0.97,59.28,5,15,20,0,15,1.99,3,7,13,10,6.99,1
32,39,11,441.98,39,0,37,115,0.53,18.93,30,29,10,0,3,3.42,3,5,3,2,4.5,0
45,21,11,151.93,33,0,81,54,0.79,32.55,14,1,4,0,10,5.37,12,3,3,9,4.61,0
15,96,26,52.65,37,0,44,21,0.97,52.37,31,12,12,0,10,5.42,14,0,3,1,1.59,1
9,27,30,71.83,9,1,109,30,0.51,14.32,10,16,7,1,2,1.14,9,6,9,6,10.07,1
27,38,27,255.94,30,0,117,3,0.01,49.05,11,21,21,1,4,1.45,4,7,14,3,2.37,1
15,85,23,475.83,33,1,28,45,0.32,77.48,2,30,1,1,13,5.8,11,7,19,2,3.78,1
34,79,28,481.82,4,0,139,117,0.93,70.19,40,19,16,0,15,2.26,12,6,17,9,6.09,1
54,5,6,36.54,21,0,29,47,0.55,32.97,0,7,23,1,12,2.27,7,4,16,7,13.23,0
54,25,5,274.38,22,1,33,93,0.76,71.29,9,18,22,0,3,0.83,15,2,10,10,8.85,0
51,114,27,108.96,18,0,1,6,0.03,31.81,36,15,7,0,1,5.59,3,4,1,8,2.68,1
50,38,11,491.33,40,0,73,28,0.57,3.77,26,4,11,0,14,0.64,2,1,9,8,12.34,0
39,55,27,469.4,10,1,134,23,0.07,62.49,35,8,5,1,9,5.77,13,0,18,9,13.78,1
12,20,15,114.92,2,1,77,6,0.81,21.16,38,22,1,0,8,0.95,15,1,13,0,10.4,0
23,60,15,158.62,26,1,26,57,0.37,78.19,24,16,11,1,2,1.32,4,4,16,10,10.38,0
48,35,8,219.72,11,0,14,29,0.44,87.48,13,24,19,1,0,4,1,0,4,0,9.83,0
36,21,2,378.42,40,0,81,24,0.37,32.25,40,24,11,0,5,5.53,3,3,14,3,10.84,0
5,91,2,136.07,8,0,47,69,0.16,19.85,23,19,25,0,1,5.79,14,1,5,2,11.91,0
10,87,16,276.88,36,0,54,73,0.03,58.6,12,25,3,1,9,4.52,3,0,1,10,13.16,0
3,67,20,210.01,13,1,150,45,0.53,89.97,25,30,14,1,10,5.8,3,2,17,9,6.62,0
29,108,6,144.92,11,0,33,11,0.2,40.9,32,13,8,0,6,3.92,7,2,0,0,5.3,0
16,119,12,435.44,22,1,109,109,0.29,84.09,24,0,25,1,11,3.63,6,5,1,1,7.56,0
26,57,22,210.01,27,0,122,115,0.09,23.15,36,6,11,0,0,3.34,0,5,10,10,10.77,1
4,1,3,343.41,24,1,48,3,0.84,75.17,13,29,16,0,11,1.28,1,0,0,7,7.02,0
60,95,10,301.22,28,0,115,38,0.15,8.07,21,13,23,1,5,0.84,14,3,1,6,12.11,0
16,79,28,427.94,29,1,89,42,0.13,32.13,16,4,3,1,8,0.93,12,2,3,5,8.77,1
41,31,11,304.21,33,0,16,21,0.76,19.76,1,21,11,0,1,1.56,1,1,10,5,4,0
18,19,12,407.98,23,0,30,94,0.08,65.72,18,15,18,0,13,4.38,4,10,14,4,12.28,0
12,17,29,142.66,12,1,142,23,0.83,65.13,27,0,23,0,7,5.58,3,4,19,0,1.54,1
15,39,28,185.49,24,1,31,33,0.54,31.62,19,26,19,1,6,1.91,12,0,5,6,9.58,1
2,25,5,36.47,4,1,102,77,0.81,36.98,32,10,15,1,3,2.15,11,9,4,10,4.1,0
18,1,7,94.76,11,1,62,87,0.76,80.19,32,16,25,0,4,5.14,5,9,4,6,13.3,0
59,79,13,203.73,3,0,34,30,0.73,23.16,34,3,5,1,7,2.42,0,9,6,4,13.16,0
53,70,8,232.13,11,0,10,34,0.16,9.59,18,3,4,0,11,1,1,8,6,10,10.84,0
1,68,27,156.88,23,0,104,0,0.99,28.8,14,17,11,0,2,4.42,7,6,2,5,14.74,1
14,119,18,229.28,8,1,146,100,0.31,15.6,15,14,17,1,11,3.6,9,1,1,9,13.39,0
35,83,8,64.53,14,0,130,73,0.46,72.34,38,13,12,0,6,4.18,5,9,1,6,4.38,0
53,67,10,134.08,21,1,16,118,0.73,64.99,28,4,13,0,10,4.26,13,9,16,4,12.86,0
35,29,7,123.08,4,0,17,12,0.51,14.23,39,30,5,0,6,3.96,15,4,11,5,3.53,0
56,38,11,445.37,37,0,14,104,0.53,63.85,38,26,0,1,1,5.07,6,4,17,5,4.2,0
47,74,16,44.77,27,0,19,0,0.82,13,11,21,14,1,5,5.04,13,10,4,1,5.79,0
5,17,12,280.3,6,0,56,103,0.41,64.92,8,0,15,1,5,4.71,1,9,13,9,12.2,0
39,66,7,99.74,26,0,140,86,0.94,42.12,24,4,14,1,13,3.14,4,10,0,0,4.92,0
35,48,12,190.79,3,0,34,87,0.16,55.91,34,2,24,1,0,1.21,10,5,1,7,2.48,0
30,116,25,35.11,17,0,53,85,0.05,87.87,2,13,8,1,12,5.52,11,4,17,7,6.22,1
51,10,17,457.88,39,0,123,120,0.19,42.93,32,6,2,1,9,5.52,6,5,20,1,14.96,0
35,27,9,400.22,19,1,88,44,0.73,72.45,22,13,11,0,10,2.31,13,7,19,5,1.78,0
13,52,23,467.66,18,0,144,62,0.61,15.93,19,23,17,1,9,5.55,15,0,3,3,1.88,1
58,76,27,279.12,22,0,32,91,0.5,38.65,6,5,0,1,0,0.58,9,7,18,0,1.71,1
1,77,11,221.15,38,0,83,97,0.98,29.96,21,8,2,0,12,1.98,1,4,17,10,6.46,0
41,94,4,434.11,26,0,41,46,0.36,47.97,7,25,9,0,0,4.55,8,0,8,9,12.45,0
34,31,24,321.01,4,1,3,119,0.57,76.4,18,29,22,1,1,3.57,6,6,20,5,10.82,1
33,81,7,107.39,10,1,29,20,0.64,63.97,29,18,16,1,14,5.7,9,7,5,9,1.03,0
14,27,4,204.38,36,1,20,31,0.41,74.43,38,28,6,1,9,1.12,2,0,14,3,10.06,0
54,39,29,387.72,38,0,118,55,0.23,88.58,2,19,14,1,1,4.65,9,9,0,1,13.31,1
23,115,23,492.03,24,0,127,97,0.79,72.92,21,30,13,0,14,4.77,11,6,19,7,14.85,1
42,41,0,48.25,17,0,133,13,0.54,45.47,13,19,19,1,7,2.7,6,2,12,0,6.61,0
39,36,9,336.45,15,1,144,37,0.21,81.77,2,1,25,0,13,4.03,15,9,10,3,12.51,0
31,100,24,367.68,11,0,45,25,0.34,77.73,0,14,21,1,14,4.77,7,5,4,8,7.84,1
45,28,17,112.69,5,0,119,44,0.19,29.33,17,25,1,1,8,5.12,1,5,15,1,9.76,0
38,84,15,140.97,3,1,2,90,0.77,55.8,39,18,24,1,9,1.94,10,7,10,3,3.66,0
34,97,19,470.14,11,0,46,74,0.98,21.29,7,28,8,1,12,2.52,7,5,9,5,9.31,0
41,9,1,285.77,30,1,21,110,0.49,32.11,22,9,6,1,7,4.43,14,4,11,4,10.74,0
25,54,4,293.49,31,0,105,64,0.11,56.65,1,27,4,0,1,3.11,3,7,4,3,8.48,0
8,102,0,360.06,27,0,135,103,0.65,65.76,11,8,16,1,14,3.57,7,7,14,0,6.93,0
23,85,27,361.41,24,0,84,54,0.55,38.54,16,29,5,1,8,4.11,11,6,15,6,9.8,1
49,111,7,319.56,37,0,83,115,0.62,26.11,24,6,25,0,8,4.77,0,10,3,6,3.44,0
15,109,5,408.98,15,0,107,87,0.33,58.84,15,18,18,0,14,1.18,0,2,20,6,5.22,0
50,35,11,206.41,38,0,76,88,0.95,6.98,7,4,6,0,11,5.57,2,1,7,4,4.44,0
37,71,15,264.63,14,0,12,6,0.01,79.04,27,6,17,1,11,1.96,9,2,17,7,6.65,0
30,35,5,157.3,18,0,23,39,0.05,66.28,26,11,23,0,5,0.59,8,3,14,3,12.82,0
14,41,2,88.74,8,0,84,64,0.54,68.23,36,11,13,1,1,0.53,3,1,20,9,14.27,0
19,115,18,158.9,27,1,7,103,0.61,51.92,25,26,19,0,15,5.81,13,2,5,9,12.04,0
21,95,29,38.08,23,1,52,60,0,16.39,39,9,9,1,1,3.16,0,3,0,8,6.03,1
14,58,2,176.72,31,1,96,55,0.44,33.04,26,5,22,0,10,3.77,4,10,1,0,9.42,0
13,103,16,263.37,10,0,44,97,0.15,53.89,8,6,19,0,5,2.31,4,2,12,10,12.96,0
28,88,24,131.02,11,1,144,93,0.7,73.72,7,30,2,1,8,5.85,1,3,20,3,11.65,1
46,64,14,487.66,22,0,95,83,0.29,43.03,31,27,20,1,10,1.43,4,4,19,5,14.16,0
60,27,27,469.69,1,0,1,35,0.64,21.97,12,23,8,1,5,4.28,8,1,10,10,10.22,1
21,24,19,80.41,36,1,70,93,0.6,75.26,37,5,13,0,6,4.96,12,9,7,10,9.41,0
59,77,8,217.84,21,1,95,19,0.29,50.51,29,29,9,0,14,5.48,2,6,14,10,14.39,0
2,102,7,404.12,40,1,10,13,0.97,45.43,9,9,14,0,3,3.65,4,1,6,6,3.52,0
34,88,30,444.46,16,0,134,25,0.92,80.04,25,20,15,1,3,5.76,13,4,13,6,14.72,1
27,101,5,41.82,27,1,75,3,0.34,7.78,12,4,7,1,4,1.85,0,3,5,10,5.4,0
49,72,19,343.85,39,1,114,52,0.04,5.05,25,21,14,1,2,1.15,5,9,4,7,6.15,0
13,101,2,471.23,9,1,86,97,0.53,5.64,27,1,11,1,10,5.96,8,4,7,9,6.54,0
53,37,2,206.83,36,1,127,11,0.67,8.95,19,24,13,0,1,5.67,12,2,20,2,8.76,0
45,7,10,210.36,15,0,122,101,0.12,20.12,25,28,6,1,12,5.89,0,8,20,3,11.49,0
